0,Dirgahayu Bhayangkara Indonesia. Tetaplah jadi pengayom dan pelindung seluruh rakyat Indonesia. https://t.co/8vANMn7f50,2019-07-01 04:17:23,2133,13799
1,"Rangkaian pesta demokrasi Pemilihan Presiden 2019 telah berakhir. 

Dengan ini, saya mengajak seluruh rakyat untuk bersatu kembali sebagai saudara sebangsa dan setanah air, dan melupakan perbedaan pilihan politik yang lalu. https://t.co/wzpmJj1Jqf",2019-06-30 15:00:13,6594,30528
2,Pulang ke Tanah Air .... https://t.co/PHcbQj8Y2M,2019-06-30 01:05:40,3041,26287
3,"Pertemuan bilateral dengan Putra Mahkota Kerajaan Arab Saudi Pangeran Mohammad bin Salman di sela KTT G20, siang tadi.

Kami membahas soal pembentukan Dewan Konsultasi Tingkat Tinggi, kerja sama Pertamina dan Aramco, serta minat Indonesia berpartisipasi dalam visi Saudi 2030. https://t.co/erKXdLa3Rp",2019-06-29 13:33:14,1335,10524
4,"KTT G20 yang berlangsung dua hari di Osaka sungguh padat acara, resmi atau santai, rapat besar atau pertemuan bilateral, jamuan makan dan foto bersama. 

Apa pun acaranya, di sela-selanya masih bisa mengobrol bahkan sekadar bisik-bisik. https://t.co/hpReQNKY0F",2019-06-29 07:30:02,2652,18435
5,Di antara perempuan-perempuan perkasa ... https://t.co/vEJ6eiB4eM,2019-06-29 03:11:41,7168,45736
6,"Sebelum jamuan santap malam untuk para pemimpin negara-negara anggota G20, bersama Presiden Prancis Emmanuel Macron dan Ibu Brigitte Trogneux Macron di Osaka Geihinkan. https://t.co/qhkfnzeJ9w",2019-06-29 01:29:39,1930,15414
7,"Bersama seluruh pemimpin negara ekonomi terbesar dunia di panggung KTT G20 di INTEX Osaka, Jepang, siang tadi. 

Di sini, para kepala negara, pemerintahan, serta lembaga dunia yang saya temui juga menyampaikan selamat atas keberhasilan penyelenggaraan Pemilu 2019 di Indonesia. https://t.co/li0Xt9KWaf",2019-06-28 11:38:48,3468,19326
8,"Melangkah di atas karpet merah di panggung dan melewati deretan bendera negara G20 di INTEX  Osaka, siang tadi, setiap pemimpin negara peserta KTT G20 disambut hangat oleh Perdana Menteri Jepang Shinzo Abe. 

Selamat datang di Osaka. https://t.co/3iss3LJRXS",2019-06-28 09:27:43,3432,22244
9,"Obrolan sejenak bersama para pemimpin negara G20 di ruang Leaders’ Area, gedung INTEX Osaka, Jepang, sambil menantikan sesi official welcome dan family photo. 

Presiden Amerika Serikat Donald Trump berbagi permen kepada yang lain 😀 https://t.co/FLYHXSX72f",2019-06-28 05:49:32,2984,18671
10,"Alhamdulillah, tiba di Jepang, pagi ini, untuk hadir bersama para pemimpin negara-negara ekonomi terbesar dunia di KTT G20 di Osaka, 28-29 Juni 2019, 

Di KTT G20 ini saya akan berbicara tentang dua hal: inovasi di bidang ekonomi digital dan upaya mengatasi kesenjangan. https://t.co/MWsAeAWHh0",2019-06-28 05:35:22,2004,15249
11,"Proses pesta demokrasi yang telah berlangsung beberapa bulan telah usai. Tidak ada lagi 01 dan 02, yang ada hanyalah persatuan Indonesia.

Dan saya memastikan bahwa presiden dan wakil presiden terpilih adalah presiden dan wakil presiden bagi seluruh rakyat Indonesia. https://t.co/Sv926VPLSW",2019-06-28 02:11:12,10412,37921
12,"Argentina adalah mitra perdagangan besar Indonesia di Amerika Selatan.

Kepada Presiden Mauricio Macri yang datang kemarin, saya menawarkan produk dan jasa industri strategis Indonesia, dari pesawat, jasa pemeliharaan pesawat, lokomotif dan  gerbong kereta sampai hasil pertanian. https://t.co/zhlmrBw3gL",2019-06-27 02:51:16,1341,11525
13,"Jersey timnas Argentina dari Presiden Argentina Mauricio Macri yang berkunjung ke Indonesia, hari ini. Sementara saya, menghadiahkan bola sepak buatan Indonesia.

Kami bertukar cenderamata seusai pertemuan bilateral di Istana Bogor.

Selamat datang Presiden Mauricio Macri. https://t.co/cHTE7IEEis",2019-06-26 13:01:24,2486,15343
14,"Selama 12 tahun ini, kontingen TNI AD selalu menjuarai lomba tembak bergengsi di berbagai kompetisi dengan senjata buatan dalam negeri.

Ya, senapan mesin, pistol, senjata berat, bahkan panser dan tank sudah lama diproduksi PT Pindad, BUMN Industri Strategis Indonesia. https://t.co/N7ljxTC1uI",2019-06-26 07:14:32,3597,20004
15,"Lagu The ASEAN Way dinyanyikan dan penampilan budaya berjudul Vivid ASEAN disuguhkan pagi ini di Hotel Athenee, Bangkok. ""Saya menyambut Anda sekalian di Kerajaan Thailand, tempat lahirnya ASEAN,"" kata PM Thailand Prayut Chan-o-cha.

KTT ke-34 ASEAN pun resmi dibuka. https://t.co/HpF332hNfg",2019-06-23 11:39:55,1257,11306
16,"Obrolan sejenak bersama Perdana Menteri Singapura Lee Hsien Loong sebelum menghadiri pleno KTT ke-34 ASEAN di Hotel Athenee Bangkok, kemarin. 

Kami hanya bicara soal rencana pertemuan leaders’ retreat di Singapura awal bulan Desember nanti. https://t.co/krs5JJV3fn",2019-06-23 04:08:40,1210,10477
17,"Akhir pekan yang padat di Bangkok. 

Kemarin sore, seusai beberapa pertemuan bilateral, saya hadir di Pertemuan Pemimpin ASEAN dengan ASEAN Business Advisory Council, lalu Perwakilan Pemuda ASEAN, AIPA, juga Pleno KTT di mana saya menyampaikan Outlook ASEAN mengenai Indo-Pasifik. https://t.co/xdlHVAIS8V",2019-06-23 02:33:41,1155,10813
18,"Bertemu Perdana Menteri Viet Nam Nguyen Xuan Phuc di Bangkok tadi, kami saling menyelamati: PM Viet Nam menyampaikan ucapan selamat atas proses dan hasil Pemilu di Indonesia, dan saya menyampaikan selamat kepada Viet Nam yang akan menjadi negara anggota DK PBB pada 2020-2021. https://t.co/5CTCc3Ujk5",2019-06-22 13:41:51,843,8483
19,"Bertemu Aung San Suu Kyi, State Counsellor Republik Uni Myanmar yang juga menghadiri KTT ke-34 ASEAN, beberapa jam setiba di Bangkok siang tadi.

Topik pembicaraan kami tentu tak jauh-jauh dari isu Rakhine State yang semenjak dulu telah menjadi perhatian kita. https://t.co/ZSSoGAKkyW",2019-06-22 12:31:49,961,8114
20,"Bertolak menuju Bangkok pagi ini untuk menghadiri KTT ke-34 ASEAN. KTT ini akan berlangsung selama dua hari dengan agenda yang padat.

Mohon doa dari seluruh rakyat agar perjalanan ini lancar. https://t.co/bIsyyPoaXH",2019-06-22 06:05:04,2020,19091
21,"Menjelang salat Jumat tadi, saya ke sini: meninjau perkembangan pembangunan landas pacu ketiga Bandara Internasional Soekarno-Hatta di Tangerang. Dan saya senang, landas pacu ini sudah hampir selesai. Semoga bulan Juli nanti, sudah bisa dioperasikan. https://t.co/e4qzQtcbb2",2019-06-21 11:11:23,1273,12131
22,"Terima kasih untuk segala perhatian, doa, dukungan, dan amanah yang tercurah dari seluruh rakyat kepada saya dan keluarga.

Saya tak pernah merayakan hari ulang tahun, dan tak perlu ada pesta, kecuali rasa syukur ke hadirat Allah SWT, dan negeri yang menanti kerja bersama kita. https://t.co/yUg9g9MPbG",2019-06-21 03:43:40,22426,84037
23,"Menyerahkan 3.200 lembar sertifikat hak atas tanah bagi masyarakat Gresik di GOR Tridharma Petrokimia siang tadi.

Di seluruh Jawa Timur, dari 19.498.377 bidang tanah, 54,45 % di antaranya sudah bersertifikat. https://t.co/2odJbu00mj",2019-06-20 12:18:50,1185,10003
24,"Tiba di Bandar Udara Internasional Juanda, Sidoarjo, pagi ini untuk kunjungan kerja di Jawa Timur.

Hari ini, saya menyerahkan ribuan sertifikat hak atas tanah untuk rakyat di Kabupaten Gresik. https://t.co/BWxcBMDUvt",2019-06-20 03:57:56,1734,13113
25,"Jenis usaha mikro, kecil, dan menengah di Indonesia saat ini ada 62,9 juta unit usaha.

Pemerintah tentu akan menyediakan fasilitas kepada UMKM-UMKM ini tetapi harus menimbang satu hal: jangan sampai fasilitas itu justru mematikan jiwa dan karakter kewirausahaan mereka. https://t.co/2TB5isKKOP",2019-06-19 01:51:59,1245,10057
26,"Ikut berpawai di pembukaan Pesta Kesenian Bali 2019, pesta yang mengusung tema Bayu Pramana. Napas kehidupan, yang memuliakan sumber daya angin. https://t.co/8AOKeNWeNZ",2019-06-17 09:28:37,3118,20750
27,"Dengan baju adat berwarna coklat, dipadukan dengan udeng, saput dan kamen ungu ini, saya menghadiri pembukaan Pesta Kesenian Bali 2019 di Denpasar, kemarin. Tidak sekadar hadir, saya dan Ibu Negara bahkan turut menjadi peserta pawai dengan naik mobil hias. 

Terima kasih, Bali. https://t.co/r3q9kMnMCk",2019-06-16 01:09:07,2443,16977
28,"Menyusuri tanggul Waduk Muara Nusa Dua, Denpasar, kemarin. Seiring meningkatnya kegiatan pariwisata di Kuta, Tanjung Benoa, dan Nusa Dua, maka pemerintah menata dan merehabilitasinya pada 2017 lalu. 

Jika rampung akhir 2019, Waduk Muara Nusa Dua juga akan jadi tempat wisata. https://t.co/qkzAajfyuE",2019-06-15 04:48:53,1173,9381
29,"Bermain bola dengan Jan Ethes di atas hamparan pasir Pantai Sanur, Bali. https://t.co/NhhROFr9AM",2019-06-15 01:01:38,5335,34257
30,"Sebanyak 3.000 lembar sertifikat hak atas tanah saya serahkan hari ini kepada masyarakat dari tujuh kota dan kabupaten di Provinsi Bali. 

Yang menggembirakan, Bali akan jadi provinsi pertama di Indonesia yang seluruh bidang tanahnya bersertifikat tuntas tahun ini. Alhamdulillah. https://t.co/GLeR2ATQot",2019-06-14 11:42:44,1605,11281
31,"Selama tujuh bulan masa kampanye kemarin, kegiatan bagi-bagi sepeda dilarang. Pada acara pembagian sertifikat tanah di Bali, hari ini, saya kembali membagi sepeda untuk mereka yang bisa menjawab pertanyaan.

Jadi, selamat kepada pemenang: menerima sertifikat, dapat sepeda pula. https://t.co/FDVQtf0Iz0",2019-06-14 09:38:28,1351,10378
32,"Dalam lima tahun ini, kita telah membangun lebih dari 5.000 pasar besar dan sekitar 8.900 pasar desa. Ke depan, target pemerintah masih sama.

Pasar-pasar di seluruh Indonesia harus hidup sebagai tempat bertemunya penjual dan pembeli, produk-produk petani, nelayan, pengrajin. https://t.co/YxTE3iUp0P",2019-06-14 07:03:07,1041,7698
33,"Sesaat setelah meninjau Pasar Sukawati, seorang pria mencegat saya di jalan keluar. Di tangannya ada selembar kertas. Ternyata itu foto saya.

Rupanya, ia ingin meminta tanda tangan. Katanya untuk kenang-kenangan. Maka berbantalkan punggung ajudan, foto itu saya tanda tangani. https://t.co/EoMHsU6KcV",2019-06-14 04:44:37,2960,21609
34,"Anda yang ke Bali dan belum ke Pasar Sukawati, itu rasanya belum ke Bali. Pasar seni di Gianyar ini adalah pusat kerajinan seni khas Bali.

Sukawati akan direvitalisasi menjadi pasar rakyat yang modern. Jika lancar, wajah dan suasana baru Pasar Sukawati akan rampung tahun depan. https://t.co/jS7fZfsjRX",2019-06-14 04:06:25,1088,8313
